game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"2,819 / 6,385","1,245 / 2,255",74 / 123,Owned,,,189 hrs 34 mins,04 Nov 21,,27 May 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"165 / 4,289","117 / 1,000",11 / 66,Owned,Playing now,,4 hrs 45 mins,02 May 23,,21 May 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"108 / 2,441","100 / 1,000",5 / 32,Owned,Playing now,,2 hrs 35 mins,15 Dec 22,,15 Feb 23
Need for Speed Unbound,https://www.trueachievements.com/game/Need-for-Speed-Unbound/achievements,xbox-series-x-s,"1,246 / 3,743","510 / 1,000",26 / 41,Owned,,,45 hrs 23 mins,29 Nov 22,,21 Jan 23
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"359 / 2,453","200 / 1,000",2 / 24,Owned,Playing now,,146 hrs 57 mins,31 Dec 22,,31 Dec 22
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"373 / 3,358","245 / 1,000",8 / 34,Owned,,,14 hrs 35 mins,28 Nov 21,,27 Nov 22
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"337 / 1,616","260 / 1,000",16 / 50,Owned,,,50 hrs 42 mins,16 Sep 22,,21 Nov 22
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"3,212 / 3,212","1,000 / 1,000",42 / 42,Owned,,,123 hrs 1 min,08 Nov 19,11 Nov 22,11 Nov 22
A Plague Tale: Requiem,https://www.trueachievements.com/game/A-Plague-Tale-Requiem/achievements,xbox-series-x-s,"661 / 2,194","380 / 1,000",13 / 35,Owned,,,14 hrs 7 mins,19 Oct 22,,05 Nov 22
DEATHLOOP,https://www.trueachievements.com/game/Deathloop/achievements,xbox-series-x-s,"38 / 3,753","30 / 1,000",2 / 58,Owned,,,42 mins,24 Sep 22,,24 Sep 22
GRID Legends,https://www.trueachievements.com/game/GRID-Legends/achievements,xbox-one,"468 / 3,812","270 / 1,000",17 / 50,Owned,,,9 hrs 33 mins,03 Sep 22,,21 Sep 22
Wolfenstein II: The New Colossus,https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,xbox-one,"16 / 4,025","15 / 1,000",2 / 50,Owned,,,40 mins,12 Sep 22,,15 Sep 22
Wolfenstein: The New Order,https://www.trueachievements.com/game/Wolfenstein-The-New-Order/achievements,xbox-one,"578 / 1,948","420 / 1,000",21 / 50,Owned,,,,22 Jun 19,,12 Sep 22
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"501 / 1,595","390 / 1,000",22 / 50,Owned,,,47 hrs 7 mins,14 Jan 18,,03 Sep 22
Immortals Fenyx Rising,https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,xbox-one,"89 / 2,025","75 / 1,000",5 / 50,Owned,,,3 hrs 7 mins,01 Sep 22,,02 Sep 22
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"525 / 1,810","415 / 1,000",19 / 50,Owned,,,24 hrs 34 mins,19 Jul 18,,28 Aug 22
Tom Clancy's Ghost Recon Breakpoint,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,xbox-one,"701 / 2,018","435 / 1,000",25 / 50,Owned,,,53 hrs 28 mins,31 Dec 19,,24 Aug 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"122 / 2,751","80 / 1,000",6 / 53,Owned,,,6 hrs 51 mins,30 May 22,,11 Jun 22
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"15 / 9,216","15 / 1,000",1 / 47,Owned,,,2 hrs 2 mins,26 May 22,,26 May 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"561 / 2,020","415 / 1,000",20 / 39,Owned,,,19 hrs 30 mins,03 Dec 20,,22 May 22
Remnant: From the Ashes,https://www.trueachievements.com/game/Remnant-From-the-Ashes/achievements,xbox-one,"42 / 2,206","40 / 1,000",3 / 40,Owned,,,1 hr 30 mins,08 May 22,,08 May 22
Marvel's Guardians of the Galaxy,https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,xbox-one,"1,206 / 1,591","850 / 1,000",50 / 58,Owned,,,20 hrs 53 mins,13 Mar 22,,01 May 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"126 / 2,555","100 / 1,000",1 / 44,Owned,,,14 hrs 50 mins,10 Apr 22,,10 Apr 22
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"15 / 2,193","15 / 1,000",1 / 53,Owned,,,1 hr 2 mins,28 Mar 22,,28 Mar 22
Tom Clancy's The Division 2,https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,xbox-one,"646 / 2,278","415 / 1,010",23 / 43,Owned,,,79 hrs 49 mins,14 Jun 19,,20 Feb 22
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"218 / 3,854","135 / 1,000",8 / 42,Owned,,,2 hrs 57 mins,22 Jan 22,,29 Jan 22
Aliens: Fireteam Elite,https://www.trueachievements.com/game/Aliens-Fireteam-Elite/achievements,xbox-one,"56 / 5,006","45 / 1,000",3 / 42,Owned,,,3 hrs 29 mins,15 Dec 21,,31 Dec 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"989 / 3,642","520 / 1,000",31 / 55,Owned,,,35 hrs 15 mins,12 Oct 21,,30 Dec 21
Psychonauts 2,https://www.trueachievements.com/game/Psychonauts-2/achievements,xbox-one,"550 / 1,988","375 / 1,000",25 / 57,Owned,,,12 hrs 7 mins,26 Aug 21,,11 Dec 21
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"224 / 1,370",140 / 600,17 / 50,Owned,,,4 hrs 30 mins,30 Nov 21,,10 Dec 21
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"63 / 3,707","50 / 1,000",2 / 34,Owned,,,1 hr 4 mins,13 Nov 21,,13 Nov 21
FIFA 21,https://www.trueachievements.com/game/FIFA-21/achievements,xbox-series-x-s,"315 / 3,690","165 / 1,000",6 / 36,Owned,,,37 hrs 36 mins,16 Aug 21,,07 Nov 21
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"49 / 17,784","40 / 5,000",6 / 500,Owned,,,3 hrs 49 mins,11 Oct 21,,11 Oct 21
