game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gears of War: Judgment,https://www.trueachievements.com/game/Gears-of-War-Judgment/achievements,xbox-360,"3,510 / 4,396","1,245 / 1,500",64 / 70,Owned,,,,20 Mar 13,,19 Nov 22
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"3,310 / 5,213","1,535 / 1,925",74 / 81,Owned,,,,20 Sep 11,,19 Nov 22
Circus Electrique,https://www.trueachievements.com/game/Circus-Electrique/achievements,xbox-one,"243 / 3,726","152 / 1,000",14 / 50,Owned,Playing now,,7 hrs 38 mins,11 Sep 22,,16 Sep 22
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"2,464 / 4,790","1,110 / 1,500",55 / 65,Owned,,,,30 Apr 08,,27 May 22
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"4,375 / 4,375","1,000 / 1,000",34 / 34,Owned,Playing now,,86 hrs 3 mins,01 Jan 22,14 Feb 22,14 Feb 22
Grand Theft Auto: Vice City – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-Vice-City-The-Definitive-Edition/achievements,xbox-one,"1,943 / 1,943","1,000 / 1,000",33 / 33,Owned,Playing now,,47 hrs 23 mins,05 Dec 21,31 Dec 21,31 Dec 21
Grand Theft Auto III – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-III-The-Definitive-Edition/achievements,xbox-one,"2,260 / 2,260","1,000 / 1,000",28 / 28,Owned,Playing now,,34 hrs 42 mins,12 Nov 21,04 Dec 21,04 Dec 21
Loot Hero DX,https://www.trueachievements.com/game/Loot-Hero-DX/achievements,xbox-one,"1,003 / 1,003","1,000 / 1,000",12 / 12,Owned,Playing now,,33 mins,08 Mar 21,08 Mar 21,08 Mar 21
Thunderflash,https://www.trueachievements.com/game/Thunderflash/achievements,xbox-one,"1,036 / 1,036","1,000 / 1,000",15 / 15,Owned,Playing now,,38 mins,28 Feb 21,28 Feb 21,28 Feb 21
Project Starship X,https://www.trueachievements.com/game/Project-Starship-X/achievements,xbox-one,"1,102 / 1,102","1,000 / 1,000",19 / 19,Owned,Playing now,,37 mins,17 Feb 21,17 Feb 21,17 Feb 21
Aborigenus,https://www.trueachievements.com/game/Aborigenus/achievements,xbox-one,"2,099 / 2,099","2,000 / 2,000",15 / 15,Owned,Playing now,,43 mins,07 Feb 21,07 Feb 21,07 Feb 21
Butterfly,https://www.trueachievements.com/game/Butterfly/achievements,xbox-one,"1,004 / 1,004","1,000 / 1,000",10 / 10,Owned,Playing now,,9 mins,03 Feb 21,03 Feb 21,03 Feb 21
Syrup and the Ultimate Sweet,https://www.trueachievements.com/game/Syrup-and-the-Ultimate-Sweet/achievements,xbox-one,"1,009 / 1,009","1,000 / 1,000",12 / 12,Owned,Playing now,,8 mins,30 Jan 21,30 Jan 21,30 Jan 21
Ailment,https://www.trueachievements.com/game/Ailment/achievements,xbox-one,"1,046 / 1,046","1,000 / 1,000",10 / 10,Owned,Playing now,,1 hr 14 mins,13 Dec 20,13 Dec 20,13 Dec 20
Rare Replay,https://www.trueachievements.com/game/Rare-Replay/achievements,xbox-one,"9,181 / 27,522","1,870 / 4,000",105 / 200,Owned,Playing now,,56 hrs 43 mins,09 Aug 15,,13 Dec 20
Perfect Dark (Xbox 360),https://www.trueachievements.com/game/Perfect-Dark-Xbox-360/achievements,xbox-360,632 / 689,195 / 200,19 / 20,Owned,,,,27 Mar 10,,01 Dec 20
Perfect Dark Zero,https://www.trueachievements.com/game/Perfect-Dark-Zero/achievements,xbox-360,"366 / 3,957","220 / 1,000",18 / 50,Owned,,,,22 Dec 11,,01 Dec 20
Borderlands 2 (Xbox 360),https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,xbox-360,"2,605 / 2,794","1,545 / 1,625",67 / 69,Owned,Playing now,,,20 Apr 20,,29 Nov 20
Mad Max,https://www.trueachievements.com/game/Mad-Max/achievements,xbox-one,"1,970 / 2,420","920 / 1,000",48 / 49,Owned,Playing now,,79 hrs 55 mins,07 Sep 15,,21 Oct 20
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"4,916 / 4,915","1,390 / 1,390",72 / 72,Owned,Playing now,,121 hrs 54 mins,27 Mar 19,12 Sep 20,12 Sep 20
Dying Light,https://www.trueachievements.com/game/Dying-Light/achievements,xbox-one,"2,534 / 3,371","1,340 / 1,490",61 / 68,Owned,Playing now,,26 hrs 42 mins,10 Nov 15,,16 Aug 20
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"1,301 / 1,837","745 / 1,000",40 / 50,Owned,Playing now,,77 hrs 56 mins,13 Mar 16,,07 Jun 20
Borderlands,https://www.trueachievements.com/game/Borderlands/achievements,xbox-360,"2,642 / 2,642","1,750 / 1,750",80 / 80,Owned,Playing now,,,11 Jan 20,20 Apr 20,20 Apr 20
Tom Clancy's Ghost Recon Breakpoint,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,xbox-one,"2,018 / 2,018","1,000 / 1,000",50 / 50,Owned,Playing now,,,05 Oct 19,22 Dec 19,22 Dec 19
The Sinking City (Xbox One),https://www.trueachievements.com/game/The-Sinking-City-Xbox-One/achievements,xbox-one,"2,278 / 2,278","1,000 / 1,000",29 / 29,Owned,Playing now,,49 hrs 59 mins,29 Jun 19,02 Sep 19,02 Sep 19
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"1,144 / 2,157","695 / 1,025",48 / 65,Owned,Playing now,,33 hrs 0 mins,28 May 18,,12 May 19
Far Cry New Dawn,https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,xbox-one,"1,526 / 1,526","1,000 / 1,000",50 / 50,Owned,Playing now,,33 hrs 17 mins,17 Feb 19,03 Mar 19,03 Mar 19
Destiny (Xbox 360),https://www.trueachievements.com/game/Destiny-Xbox-360/achievements,xbox-360,"1,451 / 2,177","975 / 1,250",42 / 51,Owned,,,,09 Sep 14,,29 Dec 18
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"2,598 / 3,395","1,140 / 1,250",53 / 56,Owned,Playing now,,75 hrs 10 mins,27 Sep 15,,09 Nov 18
State of Decay: Year-One,https://www.trueachievements.com/game/State-of-Decay-Year-One-Survival-Edition/achievements,xbox-one,"4,119 / 4,118","1,500 / 1,500",72 / 72,Owned,,,112 hrs 3 mins,30 Apr 15,04 Dec 16,04 Nov 18
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"3,949 / 3,949","1,695 / 1,695",72 / 72,Owned,Playing now,,133 hrs 36 mins,01 Apr 18,14 Oct 18,14 Oct 18
Capcom Beat 'Em Up Bundle,https://www.trueachievements.com/game/Capcom-Beat-Em-Up-Bundle/achievements,xbox-one,"1,402 / 1,402","1,000 / 1,000",11 / 11,Owned,Playing now,,9 hrs 14 mins,20 Sep 18,29 Sep 18,29 Sep 18
Far Cry 3 Classic Edition,https://www.trueachievements.com/game/Far-Cry-3-Classic-Edition/achievements,xbox-one,"1,703 / 1,703","1,000 / 1,000",43 / 43,Owned,Playing now,,32 hrs 49 mins,31 May 18,21 Jul 18,21 Jul 18
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"1,234 / 11,449","785 / 2,500",60 / 124,Owned,Playing now,,37 hrs 9 mins,20 Oct 16,,15 Apr 18
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"5,584 / 7,909","1,650 / 1,750",75 / 77,Owned,,,294 hrs 37 mins,22 Nov 14,,04 Mar 18
