achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Coffee-Talk/achievements,https://www.trueachievements.com/a291016/let-me-start-over-achievement,Let me start over,It's okay to make mistake,21 May 23,(20),26,1.32
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369035/well-train-your-arse-off-achievement,We'll train your arse off!,Completed a match in Single VS Battle.,16 Apr 23,(15),28,1.91
https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,https://www.trueachievements.com/a369007/i-knew-i-could-count-on-you-achievement,I knew I could count on you.,Landed an Assist.,16 Apr 23,(15),16,1.07
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a288336/tome-of-curses-iii-achievement,Tome of Curses III,You sold the Tome of Curses III.,03 Apr 23,(5),14,2.85
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a288337/tome-of-curses-iv-achievement,Tome of Curses IV,You sold the Tome of Curses IV.,03 Apr 23,(5),14,2.89
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a291380/tome-of-fire-i-achievement,Tome of Fire I,You sold the Tome of Fire I.,03 Apr 23,(5),16,3.28
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249730/hold-my-grog-achievement,Hold My Grog!,You launched yourself from a ship's cannon onto a ship.,02 Apr 23,(50),143,2.86
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a285963/summoning-the-damned-achievement,Summoning the Damned,You woke the Fort of the Damned and stared death in the face!,02 Apr 23,(5),16,3.38
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249764/master-gold-hoarder-achievement,Master Gold Hoarder,You purchased the 'Master Gold Hoarder' Promotion in the Gold Hoarder Trading Company.,02 Apr 23,(20),62,3.12
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a288334/tome-of-curses-i-achievement,Tome of Curses I,You sold the Tome of Curses I.,01 Apr 23,(5),14,2.89
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a355292/from-whence-they-came-achievement,From Whence They Came,Defeated 250 Sea Fort Phantoms,29 Mar 23,(30),156,5.22
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a366448/a-touch-of-class-achievement,A Touch of Class,You handed in 200 treasure items to the Sovereigns.,28 Mar 23,(20),103,5.18
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249728/a-titanic-ensemble-achievement,A Titanic Ensemble,You gave your ship a Captain's send-off by playing a song aboard it while it sank.,27 Mar 23,(10),17,1.79
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a325986/convenient-stores-achievement,Convenient Stores,You purchased each type of Resource Crate and Commodity Crate from the Merchant Alliance.,26 Mar 23,(20),130,6.51
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a377718/you-gotta-fight-achievement,You Gotta Fight,You won your first fight in the Battle for the Sea of Thieves.,26 Mar 23,(10),56,5.63
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a285962/a-spectrum-of-shadows-achievement,A Spectrum of Shadows,You defeated each colour of Shadow of Fate.,26 Mar 23,(5),17,3.49
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a291384/tome-of-fire-v-achievement,Tome of Fire V,You sold the Tome of Fire V.,26 Mar 23,(5),16,3.29
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a291381/tome-of-fire-ii-achievement,Tome of Fire II,You sold the Tome of Fire II.,26 Mar 23,(5),16,3.28
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a386978/getting-a-head-achievement,Getting A Head,You uncovered a Skull of Destiny.,26 Mar 23,(10),71,7.1
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a291382/tome-of-fire-iii-achievement,Tome of Fire III,You sold the Tome of Fire III.,25 Mar 23,(5),16,3.29
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a290158/tome-of-power-v-achievement,Tome of Power V,You sold the Tome of Power V.,25 Mar 23,(5),16,3.25
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249732/laden-with-treasure-achievement,Laden With Treasure,You had twenty chests in your crew's possession... at the same time!,25 Mar 23,(20),46,2.31
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249780/gilded-merchant-achievement,Gilded Merchant,"Received the Commendation for earning 150,000 gold from Merchant Alliance Voyages.",25 Mar 23,(30),78,2.6
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a298442/trade-ambassador-achievement,Trade Ambassador,"The Merchant Alliance you now represent, never forget your extra percent.",24 Mar 23,(10),24,2.42
https://www.trueachievements.com/game/Mount-and-Blade-II-Bannerlord/achievements,https://www.trueachievements.com/a374411/trained-achievement,Trained,Finish the tutorial.,17 Mar 23,(15),15,1.03
https://www.trueachievements.com/game/Mount-and-Blade-II-Bannerlord/achievements,https://www.trueachievements.com/a374422/lawbringer-achievement,Lawbringer,Clear a hideout.,17 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Mount-and-Blade-II-Bannerlord/achievements,https://www.trueachievements.com/a374412/duelist-achievement,Duelist,Defeat Radagos in a duel.,17 Mar 23,(15),22,1.52
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373696/pyramid-of-wrath-plundered-achievement,Pyramid of Wrath: Plundered,Completed the pyramid Palace.,06 Mar 23,(15),24,1.64
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373698/true-confidence-achievement,True Confidence,Maxed out one of your Confidants.,03 Mar 23,(40),66,1.66
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373701/my-closest-partner-achievement,My Closest Partner,Entered a special relationship.,03 Mar 23,(40),69,1.73
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373711/a-grand-experiment-achievement,A Grand Experiment,Performed an Electric Chair execution.,02 Mar 23,(15),23,1.53
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373704/the-deviated-cognition-achievement,The Deviated Cognition,Encountered a deviation in Mementos.,01 Mar 23,(15),22,1.51
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373709/bank-of-gluttony-cleaned-out-achievement,Bank of Gluttony: Cleaned Out,Completed the bank Palace.,01 Mar 23,(15),23,1.57
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373712/accidentprone-achievement,Accident-Prone,Performed an execution during a Fusion Alarm.,01 Mar 23,(15),23,1.55
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373703/its-showtime-achievement,It's Showtime!,Performed a Showtime attack.,26 Feb 23,(15),22,1.52
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373720/getting-the-vapors-achievement,Getting the Vapors,Couldn't take the heat in the bathhouse.,25 Feb 23,(15),26,1.78
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373721/batter-up-achievement,Batter Up!,Scored a hit at the batting cages.,25 Feb 23,(15),19,1.32
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373719/museum-of-vanity-repossessed-achievement,Museum of Vanity: Repossessed,Completed the museum Palace.,23 Feb 23,(15),21,1.45
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373705/the-phantom-philatelist-achievement,The Phantom Philatelist,Traded in stamps while in Mementos.,23 Feb 23,(15),21,1.43
https://www.trueachievements.com/game/Persona-5-Royal/achievements,https://www.trueachievements.com/a373707/talent-thief-achievement,Talent Thief,Obtained a Skill Accessory from a Palace ruler.,23 Feb 23,(40),56,1.41
https://www.trueachievements.com/game/Octopath-Traveler/achievements,https://www.trueachievements.com/a324305/start-something-achievement,Start Something,Provoked a fight for the first time.,21 Feb 23,(5),7,1.44
https://www.trueachievements.com/game/Octopath-Traveler/achievements,https://www.trueachievements.com/a324247/setting-out--freedom-achievement,Setting Out - Freedom,Cleared chapter 1 of Therion's journey.,18 Feb 23,(5),8,1.64
https://www.trueachievements.com/game/Octopath-Traveler/achievements,https://www.trueachievements.com/a324290/novice-scrapper-achievement,Novice Scrapper,Fought 10 battles.,18 Feb 23,(5),5,1.19
https://www.trueachievements.com/game/Octopath-Traveler/achievements,https://www.trueachievements.com/a324304/stickyfingered-achievement,Sticky-Fingered,Stole something for the first time.,18 Feb 23,(5),7,1.52
https://www.trueachievements.com/game/Hollow-Knight/achievements,https://www.trueachievements.com/a260646/charmed-achievement,Charmed,Acquire your first Charm,03 Feb 23,(5),5,1.01
https://www.trueachievements.com/game/Hollow-Knight/achievements,https://www.trueachievements.com/a260653/falsehood-achievement,Falsehood,Defeat the False Knight,03 Feb 23,(5),5,1.08
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382181/cream-of-the-crop-achievement,Cream of the Crop,Come out on top with a battle against the head of Production.,02 Feb 23,(15),18,1.24
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382233/i-told-you-id-be-fine-peppermint-achievement,"I told you I'd be fine, Peppermint!",Complete the ride through production on the transit rail without taking damage.,02 Feb 23,(10),28,2.86
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382226/who-put-gears-in-there-achievement,Who put gears in there?,Destroyed your first golden statue of Kale.,02 Feb 23,(10),11,1.17
