achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Rumbleverse/achievements,https://www.trueachievements.com/a349183/elimination-achievement,Elimination,Eliminate an opponent,03 Oct 22,(50),,"Elimination
Eliminate an opponent"
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367334/keeper-of-secrets-achievement,Keeper of Secrets,Take confession.,17 Sep 22,(15),,"Keeper of Secrets
Take confession."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367329/do-no-evil-achievement,Do No Evil,Defeat the One Who Waits.,11 Sep 22,(50),,"Do No Evil
Defeat the One Who Waits."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367328/think-no-evil-achievement,Think No Evil,Defeat Shamura.,11 Sep 22,(30),,"Think No Evil
Defeat Shamura."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367324/flock-of-all-achievement,Flock of All,Gain 20 Followers.,11 Sep 22,(50),,"Flock of All
Gain 20 Followers."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367350/gospel-achievement,Gospel,Unlock all sermon upgrades.,11 Sep 22,(30),,"Gospel
Unlock all sermon upgrades."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367335/leader-of-the-crusade-achievement,Leader of the Crusade,Find all 5 locations.,11 Sep 22,(30),,"Leader of the Crusade
Find all 5 locations."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367346/devotion-achievement,Devotion,Fully Upgrade Cult.,11 Sep 22,(30),,"Devotion
Fully Upgrade Cult."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367327/hear-no-evil-achievement,Hear No Evil,Defeat Kallamar.,10 Sep 22,(30),,"Hear No Evil
Defeat Kallamar."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367345/curses-of-plenty-achievement,Curses of Plenty,Unlock all curses.,10 Sep 22,(30),,"Curses of Plenty
Unlock all curses."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367347/transform-achievement,Transform,Unlock a new fleece.,10 Sep 22,(15),,"Transform
Unlock a new fleece."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367326/speak-no-evil-achievement,Speak No Evil,Defeat Heket.,07 Sep 22,(15),,"Speak No Evil
Defeat Heket."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367336/bringer-of-light-achievement,Bringer of Light,Reignite the lighthouse.,04 Sep 22,(15),,"Bringer of Light
Reignite the lighthouse."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367323/flock-of-many-achievement,Flock of Many,Gain 10 Followers.,04 Sep 22,(30),,"Flock of Many
Gain 10 Followers."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367349/cannibal-achievement,Cannibal,Cook a Follower meat meal.,04 Sep 22,(15),,"Cannibal
Cook a Follower meat meal."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367325/see-no-evil-achievement,See No Evil,Defeat Leshy.,04 Sep 22,(15),,"See No Evil
Defeat Leshy."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367341/sacrificial-beast-achievement,Sacrificial Beast,Sacrifice a Follower.,04 Sep 22,(15),,"Sacrificial Beast
Sacrifice a Follower."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367320/the-first-death-achievement,The First Death,Salvation awaits the fallen soul.,04 Sep 22,(15),,"The First Death
Salvation awaits the fallen soul."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367351/game-of-chance-achievement,Game of Chance,Win a game of Knucklebones.,04 Sep 22,(15),,"Game of Chance
Win a game of Knucklebones."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367340/crosser-of-thresholds-achievement,Crosser of Thresholds,A new world awaits.,04 Sep 22,(15),,"Crosser of Thresholds
A new world awaits."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367322/the-flock-grows-achievement,The Flock Grows,Gain 5 Followers.,04 Sep 22,(30),,"The Flock Grows
Gain 5 Followers."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367319/preacher-of-truth-achievement,Preacher of Truth,Let the Word be known.,04 Sep 22,(15),,"Preacher of Truth
Let the Word be known."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367321/death-to-nonbelievers-achievement,Death to Non-Believers,Defeat first mini-boss.,04 Sep 22,(15),,"Death to Non-Believers
Defeat first mini-boss."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367318/first-follower-achievement,First Follower,The first devotee to the Cult of the Lamb.,04 Sep 22,(15),,"First Follower
The first devotee to the Cult of the Lamb."
https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,https://www.trueachievements.com/a367317/deal-with-the-devil-achievement,Deal with the Devil,A deal that cannot be undone.,04 Sep 22,(15),,"Deal with the Devil
A deal that cannot be undone."
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316598/crystal-craving-achievement,Crystal Craving,"Upgrade Health, Armor, or Ammo",06 Jun 22,(20),,"Crystal Craving
Upgrade Health, Armor, or Ammo"
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316587/doomsday-achievement,Doomsday,Complete Hell on Earth,06 Jun 22,(20),,"Doomsday
Complete Hell on Earth"
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316612/darn-it-they-keep-breaking-achievement,"Darn It, They Keep BREAKING",Perform 33 Unique Glory Kills in a single save slot,06 Jun 22,(33),,"Darn It, They Keep BREAKING
Perform 33 Unique Glory Kills in a single save slot"
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225125/blessed-achievement,Blessed,Select a Standing Stone blessing,21 Feb 22,(10),,"Blessed
Select a Standing Stone blessing"
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225126/unbound-achievement,Unbound,"Complete ""Unbound""",21 Feb 22,(10),,"Unbound
Complete ""Unbound"""
https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,https://www.trueachievements.com/a298184/the-course-is-that-way-achievement,The Course Is That Way,Go out of bounds,02 Nov 21,(5),,"The Course Is That Way
Go out of bounds"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325143/medal-winner-achievement,Medal Winner,Get all medals for a map,13 Oct 21,(5),,"Medal Winner
Get all medals for a map"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325147/our-powers-combined-achievement,Our Powers Combined,Collect at least 12 different Powers,13 Oct 21,(5),,"Our Powers Combined
Collect at least 12 different Powers"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325126/monkey-avenger-league-achievement,Monkey Avenger League,Win a game for 4 different Heroes,12 Oct 21,(5),,"Monkey Avenger League
Win a game for 4 different Heroes"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325115/me-did-a-job-on-ddt-achievement,Me Did A Job on DDT,"Destroy 5,000 DDTs",12 Oct 21,(5),,"Me Did A Job on DDT
Destroy 5,000 DDTs"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325153/bloons-master-achievement,Bloons Master,Beat a map in CHIMPS mode,12 Oct 21,(65),,"Bloons Master
Beat a map in CHIMPS mode"
https://www.trueachievements.com/game/Prison-Architect-Windows/achievements,https://www.trueachievements.com/a319469/get-busy-living-achievement,Get Busy Living,Achieve a re-offending rate of 25%,03 Oct 21,(60),,"Get Busy Living
Achieve a re-offending rate of 25%"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325187/rainbow-is-magic-achievement,Rainbow is Magic,"Pop 20,000 Rainbow Bloons with Magic Monkeys",05 Sep 21,(5),,"Rainbow is Magic
Pop 20,000 Rainbow Bloons with Magic Monkeys"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325113/bfb-brawler-achievement,BFB Brawler,"Destroy 10,000 BFBs",05 Sep 21,(5),,"BFB Brawler
Destroy 10,000 BFBs"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325127/power-user-achievement,Power User,Use Powers 25 times,28 Aug 21,(5),,"Power User
Use Powers 25 times"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325146/infrared-achievement,Infrared,"Pop 250,000 Camo bloons",27 Aug 21,(5),,"Infrared
Pop 250,000 Camo bloons"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325112/moab-assassin-achievement,MOAB Assassin,"Destroy 25,000 MOABs",27 Aug 21,(5),,"MOAB Assassin
Destroy 25,000 MOABs"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325119/next-level-achievement,Next Level,Win 1 game on an Intermediate map,23 Aug 21,(5),,"Next Level
Win 1 game on an Intermediate map"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a213750/restoring-order-achievement,Restoring Order,"Complete ""Restoring Order""",21 Aug 21,(20),,"Restoring Order
Complete ""Restoring Order"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a213749/headhunting-achievement,Headhunting,"Complete ""Headhunting""",21 Aug 21,(20),,"Headhunting
Complete ""Headhunting"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a213751/robot-hunter-achievement,Robot Hunter,Unlock 10 Robot Mods,13 Aug 21,(20),,"Robot Hunter
Unlock 10 Robot Mods"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a213748/mechanical-menace-achievement,Mechanical Menace,"Complete ""Mechanical Menace""",13 Aug 21,(20),,"Mechanical Menace
Complete ""Mechanical Menace"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a220469/diebrarian-achievement,Diebrarian,Collect every issue of Scav! Magazine,13 Aug 21,(10),,"Diebrarian
Collect every issue of Scav! Magazine"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a220477/power-play-achievement,Power Play,"Complete ""Power Play""",08 Aug 21,(30),,"Power Play
Complete ""Power Play"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a220476/home-sweet-home-achievement,Home Sweet Home,"Complete ""Home Sweet Home""",08 Aug 21,(20),,"Home Sweet Home
Complete ""Home Sweet Home"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a220475/the-grand-tour-achievement,The Grand Tour,"Complete ""The Grand Tour""",08 Aug 21,(20),,"The Grand Tour
Complete ""The Grand Tour"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a220474/taken-for-a-ride-achievement,Taken for a Ride,"Complete ""Taken for a Ride""",07 Aug 21,(10),,"Taken for a Ride
Complete ""Taken for a Ride"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209696/armed-and-dangerous-achievement,Armed and Dangerous,Create 50 Weapon Mods,07 Aug 21,(30),,"Armed and Dangerous
Create 50 Weapon Mods"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215779/the-islanders-almanac-achievement,The Islander's Almanac,"Collect all issues of ""The Islander's Almanac"" magazine",07 Aug 21,(10),,"The Islander's Almanac
Collect all issues of ""The Islander's Almanac"" magazine"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215780/hooked-achievement,Hooked,Defeat 30 Far Harbor Sea Creatures,07 Aug 21,(10),,"Hooked
Defeat 30 Far Harbor Sea Creatures"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215778/close-to-home-achievement,Close To Home,"Complete the quest ""Close to Home""",07 Aug 21,(50),,"Close To Home
Complete the quest ""Close to Home"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215781/new-england-vacationer-achievement,New England Vacationer,Discover 20 Far Harbor Locations,07 Aug 21,(10),,"New England Vacationer
Discover 20 Far Harbor Locations"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215777/cleansing-the-land-achievement,Cleansing The Land,"Complete the quest ""Cleansing the Land""",06 Aug 21,(20),,"Cleansing The Land
Complete the quest ""Cleansing the Land"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215776/the-way-life-should-be-achievement,The Way Life Should Be,"Complete the quest ""The Way Life Should Be""",06 Aug 21,(20),,"The Way Life Should Be
Complete the quest ""The Way Life Should Be"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209701/the-harder-they-fall-achievement,…The Harder They Fall,Kill 5 Giant Creatures,06 Aug 21,(20),,"…The Harder They Fall
Kill 5 Giant Creatures"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215775/where-you-belong-achievement,Where You Belong,"Complete the quest ""Where You Belong""",18 Jul 21,(20),,"Where You Belong
Complete the quest ""Where You Belong"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a215774/far-from-home-achievement,Far From Home,"Complete the quest ""Far From Home""",18 Jul 21,(20),,"Far From Home
Complete the quest ""Far From Home"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209714/legend-of-the-wastes-achievement,Legend Of The Wastes,Reach Level 50,12 Jul 21,(50),,"Legend Of The Wastes
Reach Level 50"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209710/theyre-action-figures-achievement,…They're Action Figures,Collect 20 Vault-Tec Bobbleheads,11 Jul 21,(20),,"…They're Action Figures
Collect 20 Vault-Tec Bobbleheads"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209709/theyre-not-dolls-achievement,They're Not Dolls…,Collect 10 Vault-Tec Bobbleheads,11 Jul 21,(10),,"They're Not Dolls…
Collect 10 Vault-Tec Bobbleheads"
https://www.trueachievements.com/game/Undertale/achievements,https://www.trueachievements.com/a323554/manna-achievement,Manna,Got to the Spaghetti save point in Snowdin.,08 Jul 21,(30),,"Manna
Got to the Spaghetti save point in Snowdin."
https://www.trueachievements.com/game/Undertale/achievements,https://www.trueachievements.com/a323553/exodus-achievement,Exodus,Arrived at Snowdin.,08 Jul 21,(30),,"Exodus
Arrived at Snowdin."
https://www.trueachievements.com/game/Undertale/achievements,https://www.trueachievements.com/a323552/mouse-achievement,Mouse,Reached the mouse hole in the Ruins.,08 Jul 21,(20),,"Mouse
Reached the mouse hole in the Ruins."
https://www.trueachievements.com/game/Undertale/achievements,https://www.trueachievements.com/a323551/ruins-achievement,Ruins,Entered the Ruins.,08 Jul 21,(20),,"Ruins
Entered the Ruins."
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209684/ad-victoriam-achievement,Ad Victoriam,"Complete ""Ad Victoriam""",04 Jul 21,(30),,"Ad Victoriam
Complete ""Ad Victoriam"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209683/blind-betrayal-achievement,Blind Betrayal,"Complete ""Blind Betrayal""",04 Jul 21,(10),,"Blind Betrayal
Complete ""Blind Betrayal"""
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209694/whats-yours-is-mine-achievement,What's Yours Is Mine,Pick 50 Locks,04 Jul 21,(30),,"What's Yours Is Mine
Pick 50 Locks"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209703/prints-not-dead-achievement,Print's Not Dead,Read 20 Magazines,03 Jul 21,(20),,"Print's Not Dead
Read 20 Magazines"
https://www.trueachievements.com/game/Fallout-4/achievements,https://www.trueachievements.com/a209685/tradecraft-achievement,Tradecraft,Join the Railroad,26 Jun 21,(10),,"Tradecraft
Join the Railroad"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325130/scholar-achievement,Scholar,Apply 10 Monkey Knowledge points,15 May 21,(5),,"Scholar
Apply 10 Monkey Knowledge points"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325142/role-reverser-achievement,Role Reverser,Win a game in Reverse mode,15 May 21,(5),,"Role Reverser
Win a game in Reverse mode"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325129/student-achievement,Student,Apply your first Monkey Knowledge point,15 May 21,(5),,"Student
Apply your first Monkey Knowledge point"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325125/epic-hero-achievement,Epic Hero,Level any Hero to level 20,15 May 21,(5),,"Epic Hero
Level any Hero to level 20"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325124/bigger-badder-achievement,"Bigger, Badder",Use any Hero Level 10 Ability,15 May 21,(5),,"Bigger, Badder
Use any Hero Level 10 Ability"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325123/mega-monkey-achievement,Mega Monkey,Deploy a tier 5 monkey tower,15 May 21,(5),,"Mega Monkey
Deploy a tier 5 monkey tower"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325108/youve-got-the-power-achievement,You've Got the Power,Use Powers for the first time,15 May 21,(5),,"You've Got the Power
Use Powers for the first time"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325122/big-monkey-achievement,Big Monkey,Deploy a tier 4 monkey tower,15 May 21,(5),,"Big Monkey
Deploy a tier 4 monkey tower"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325117/first-win-achievement,First Win,1 Non-Tutorial Beginner map Win,15 May 21,(5),,"First Win
1 Non-Tutorial Beginner map Win"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325109/hero-powers-activate-achievement,Hero Powers Activate,Use any Hero Level 3 Ability,15 May 21,(5),,"Hero Powers Activate
Use any Hero Level 3 Ability"
https://www.trueachievements.com/game/Bloons-TD-6/achievements,https://www.trueachievements.com/a325110/hero-time-achievement,Hero Time,Deploy a Hero on a non-tutorial map,15 May 21,(5),,"Hero Time
Deploy a Hero on a non-tutorial map"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295508/iconoclast-achievement,Iconoclast,Kill the Icon of Sin,13 May 21,(90),,"Iconoclast
Kill the Icon of Sin"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295509/the-once-and-future-slayer-achievement,The Once and Future Slayer,Complete the Campaign on any difficulty,13 May 21,(50),,"The Once and Future Slayer
Complete the Campaign on any difficulty"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295507/nontraditionalist-achievement,Nontraditionalist,Kill the Khan Maykr,13 May 21,(30),,"Nontraditionalist
Kill the Khan Maykr"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295518/extra-extra-lives-achievement,Extra Extra Lives,Pick up 20 Extra Lives Total in a single save slot,13 May 21,(30),,"Extra Extra Lives
Pick up 20 Extra Lives Total in a single save slot"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295514/king-of-the-crystals-achievement,King of the Crystals,"Fully upgrade Health, Armor, or Ammo in a single save slot",12 May 21,(30),,"King of the Crystals
Fully upgrade Health, Armor, or Ammo in a single save slot"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295506/reforged-and-refueled-achievement,Reforged and Refueled,Acquire a new Crucible in Taras Nabad,12 May 21,(50),,"Reforged and Refueled
Acquire a new Crucible in Taras Nabad"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295505/thumbs-down-achievement,Thumbs Down,Best the Gladiator in the coliseum,12 May 21,(25),,"Thumbs Down
Best the Gladiator in the coliseum"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295504/interplanetary-fracking-achievement,Interplanetary Fracking,Blow a hole in Mars,12 May 21,(20),,"Interplanetary Fracking
Blow a hole in Mars"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295517/homemaykr-achievement,Homemaykr,Spend 8 Sentinel Batteries in the Fortress of Doom in a single save slot,12 May 21,(25),,"Homemaykr
Spend 8 Sentinel Batteries in the Fortress of Doom in a single save slot"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295515/this-ones-my-favorite-achievement,This One's my Favorite,Complete a Praetor Suit Perk category in a single save slot,10 May 21,(15),,"This One's my Favorite
Complete a Praetor Suit Perk category in a single save slot"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295503/the-hunters-became-the-hunted-achievement,The Hunters Became the Hunted,Kill the Doom Hunters,10 May 21,(30),,"The Hunters Became the Hunted
Kill the Doom Hunters"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295533/its-a-magic-number-achievement,It's a Magic Number,Kill 666 Demons (excluding Player Demons and Wolves),09 May 21,(67),,"It's a Magic Number
Kill 666 Demons (excluding Player Demons and Wolves)"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295523/bonus-stage-achievement,Bonus Stage,Complete a Slayer Gate,09 May 21,(20),,"Bonus Stage
Complete a Slayer Gate"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295513/crystal-craving-achievement,Crystal Craving,"Upgrade Health, Armor, or Ammo",08 May 21,(20),,"Crystal Craving
Upgrade Health, Armor, or Ammo"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295501/doomsday-achievement,Doomsday,Complete Hell on Earth,08 May 21,(20),,"Doomsday
Complete Hell on Earth"
https://www.trueachievements.com/game/Doom-Eternal/achievements,https://www.trueachievements.com/a295502/darn-it-they-keep-breaking-achievement,"Darn It, They Keep BREAKING",Perform 33 Unique Glory Kills in a single save slot,08 May 21,(33),,"Darn It, They Keep BREAKING
Perform 33 Unique Glory Kills in a single save slot"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297659/delivered-us-the-moon-achievement,Delivered Us The Moon,"Stirred a sleeping giant, saved the world and reunited with an old friend",15 Apr 21,(90),,"Delivered Us The Moon
Stirred a sleeping giant, saved the world and reunited with an old friend"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297658/now-you-see-me-achievement,Now You See Me,Found the rhythm to a source of overwhelming power,15 Apr 21,(15),,"Now You See Me
Found the rhythm to a source of overwhelming power"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297641/lent-them-your-ears-achievement,Lent Them Your Ears,Collected all audiologs,15 Apr 21,(30),,"Lent Them Your Ears
Collected all audiologs"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297635/once-upon-a-time-in-the-void-achievement,Once Upon A Time In The Void,Checked all links in the MPT network and started the journey to Tombaugh,14 Apr 21,(90),,"Once Upon A Time In The Void
Checked all links in the MPT network and started the journey to Tombaugh"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297634/a-light-in-the-dark-achievement,A Light In The Dark,Restored local MPT power to a base long abandoned,14 Apr 21,(15),,"A Light In The Dark
Restored local MPT power to a base long abandoned"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297633/clearing-the-way-achievement,Clearing The Way,Ensured safe passage to the source of the MPT,14 Apr 21,(30),,"Clearing The Way
Ensured safe passage to the source of the MPT"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297632/remember-me-achievement,Remember Me,Made your way through Copernicus Moonhub's lingering echoes,14 Apr 21,(30),,"Remember Me
Made your way through Copernicus Moonhub's lingering echoes"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297631/twin-flames-achievement,Twin Flames,Realigned the MPT towers to return local power to Moonhub,14 Apr 21,(15),,"Twin Flames
Realigned the MPT towers to return local power to Moonhub"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297642/environmental-analysis-part-i-achievement,Environmental Analysis Part I,Completed an astrotool dossier profile,14 Apr 21,(15),,"Environmental Analysis Part I
Completed an astrotool dossier profile"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297630/the-mechanic-achievement,The Mechanic,Found yourself a friend,14 Apr 21,(10),,"The Mechanic
Found yourself a friend"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297638/the-witness-achievement,The Witness,Witnessed a hologram,14 Apr 21,(15),,"The Witness
Witnessed a hologram"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297629/a-light-at-the-end-of-the-tunnel-achievement,A Light At The End Of The Tunnel,Checked up on the MPT before escaping from a collapsing titan,14 Apr 21,(15),,"A Light At The End Of The Tunnel
Checked up on the MPT before escaping from a collapsing titan"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297628/fly-me-to-the-moon-achievement,Fly Me To The Moon,Bade farewell to our home planet,14 Apr 21,(10),,"Fly Me To The Moon
Bade farewell to our home planet"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297640/learning-to-listen-achievement,Learning To Listen,Collected an audiolog,14 Apr 21,(5),,"Learning To Listen
Collected an audiolog"
https://www.trueachievements.com/game/Deliver-Us-The-Moon/achievements,https://www.trueachievements.com/a297636/the-first-of-many-courses-achievement,The First Of Many Courses,Collected a piece of scannable information,14 Apr 21,(5),,"The First Of Many Courses
Collected a piece of scannable information"
https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,https://www.trueachievements.com/a227568/map-maker-achievement,Map Maker,You've uncovered more than 80% of the Mini-Map!,12 Mar 21,(100),,"Map Maker
You've uncovered more than 80% of the Mini-Map!"
https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,https://www.trueachievements.com/a236702/beginner-explorer-achievement,Beginner Explorer,You discovered 10% of the Explorer Notes on the ARK!,22 Feb 21,(5),,"Beginner Explorer
You discovered 10% of the Explorer Notes on the ARK!"
https://www.trueachievements.com/game/The-Binding-of-Isaac-Rebirth/achievements,https://www.trueachievements.com/a203943/forget-me-now-achievement,Forget Me Now,Kill Satan with ???.,09 Feb 21,(15),,"Forget Me Now
Kill Satan with ???."
https://www.trueachievements.com/game/Paladins-Champions-of-the-Realm/achievements,https://www.trueachievements.com/a242076/millionaire-achievement,Millionaire,"Earn more than 1,000,000 Gold",04 Feb 21,(15),,"Millionaire
Earn more than 1,000,000 Gold"
